------------------------------------------------------------------------------
lr=0.0001, momentum=0.9, weight_decay=0.01 dropout=0.5

Fold 1/5
Epoch [23/30], Train Loss: 0.1286, Train Acc: 0.9582, Val Loss: 0.1392, Val Acc: 0.9430, F1 Score: 0.9429, Recall: 0.9430, Precision: 0.9458, Sensitivity: 0.9825, Specificity: 0.9035, MCC: 0.8887, AUC: 0.9430
^[[A^[[A^[[A^[[A^[[A^[[A^[[A^[[A^[[A^[[A^[[A^[[A^[[A^[[A^[[A^[[A^[[Epoch [24/30], Train Loss: 0.1254, Train Acc: 0.9604, Val Loss: 0.1566, Val Acc: 0.9430, F1 Score: 0.9430, Recall: 0.9430, Precision: 0.9438, Sensitivity: 0.9649, Specificity: 0.9211, MCC: 0.8868, AUC: 0.9430
Epoch [25/30], Train Loss: 0.1141, Train Acc: 0.9626, Val Loss: 0.1237, Val Acc: 0.9474, F1 Score: 0.9474, Recall: 0.9474, Precision: 0.9479, Sensitivity: 0.9649, Specificity: 0.9298, MCC: 0.8953, AUC: 0.9474
Epoch [26/30], Train Loss: 0.1285, Train Acc: 0.9549, Val Loss: 0.1301, Val Acc: 0.9430, F1 Score: 0.9430, Recall: 0.9430, Precision: 0.9438, Sensitivity: 0.9649, Specificity: 0.9211, MCC: 0.8868, AUC: 0.9430
Epoch [27/30], Train Loss: 0.1199, Train Acc: 0.9604, Val Loss: 0.1594, Val Acc: 0.9561, F1 Score: 0.9561, Recall: 0.9561, Precision: 0.9567, Sensitivity: 0.9737, Specificity: 0.9386, MCC: 0.9128, AUC: 0.9561
Epoch [28/30], Train Loss: 0.1177, Train Acc: 0.9659, Val Loss: 0.1318, Val Acc: 0.9474, F1 Score: 0.9473, Recall: 0.9474, Precision: 0.9486, Sensitivity: 0.9737, Specificity: 0.9211, MCC: 0.8960, AUC: 0.9474
Epoch [29/30], Train Loss: 0.1251, Train Acc: 0.9582, Val Loss: 0.1364, Val Acc: 0.9386, F1 Score: 0.9386, Recall: 0.9386, Precision: 0.9398, Sensitivity: 0.9649, Specificity: 0.9123, MCC: 0.8784, AUC: 0.9386
Epoch [30/30], Train Loss: 0.1239, Train Acc: 0.9582, Val Loss: 0.1409, Val Acc: 0.9561, F1 Score: 0.9561, Recall: 0.9561, Precision: 0.9574, Sensitivity: 0.9825, Specificity: 0.9298, MCC: 0.9135, AUC: 0.9561
Fold 3/5
Epoch [1/30], Train Loss: 2.6112, Train Acc: 0.4637, Val Loss: 0.4435, Val Acc: 0.7982, F1 Score: 0.7981, Recall: 0.8019, Precision: 0.8044, Sensitivity: 0.8704, Specificity: 0.7333, MCC: 0.6062, AUC: 0.8019
Epoch [2/30], Train Loss: 0.3456, Train Acc: 0.8495, Val Loss: 0.3344, Val Acc: 0.8553, F1 Score: 0.8552, Recall: 0.8569, Precision: 0.8562, Sensitivity: 0.8889, Specificity: 0.8250, MCC: 0.7131, AUC: 0.8569
Epoch [3/30], Train Loss: 0.2526, Train Acc: 0.8945, Val Loss: 0.2703, Val Acc: 0.8991, F1 Score: 0.8991, Recall: 0.9023, Precision: 0.9037, Sensitivity: 0.9630, Specificity: 0.8417, MCC: 0.8060, AUC: 0.9023
Epoch [4/30], Train Loss: 0.2107, Train Acc: 0.9099, Val Loss: 0.2191, Val Acc: 0.9254, F1 Score: 0.9254, Recall: 0.9269, Precision: 0.9257, Sensitivity: 0.9537, Specificity: 0.9000, MCC: 0.8526, AUC: 0.9269
Epoch [5/30], Train Loss: 0.2011, Train Acc: 0.9231, Val Loss: 0.2465, Val Acc: 0.9079, F1 Score: 0.9078, Recall: 0.9120, Precision: 0.9163, Sensitivity: 0.9907, Specificity: 0.8333, MCC: 0.8283, AUC: 0.9120
Epoch [6/30], Train Loss: 0.1899, Train Acc: 0.9275, Val Loss: 0.2107, Val Acc: 0.9123, F1 Score: 0.9123, Recall: 0.9139, Precision: 0.9129, Sensitivity: 0.9444, Specificity: 0.8833, MCC: 0.8268, AUC: 0.9139
Epoch [7/30], Train Loss: 0.1766, Train Acc: 0.9286, Val Loss: 0.1883, Val Acc: 0.9254, F1 Score: 0.9254, Recall: 0.9269, Precision: 0.9257, Sensitivity: 0.9537, Specificity: 0.9000, MCC: 0.8526, AUC: 0.9269
Epoch [8/30], Train Loss: 0.1542, Train Acc: 0.9363, Val Loss: 0.1995, Val Acc: 0.9123, F1 Score: 0.9118, Recall: 0.9111, Precision: 0.9132, Sensitivity: 0.8889, Specificity: 0.9333, MCC: 0.8243, AUC: 0.9111
Epoch [9/30], Train Loss: 0.1407, Train Acc: 0.9484, Val Loss: 0.2690, Val Acc: 0.9386, F1 Score: 0.9385, Recall: 0.9389, Precision: 0.9382, Sensitivity: 0.9444, Specificity: 0.9333, MCC: 0.8771, AUC: 0.9389
Epoch [10/30], Train Loss: 0.1272, Train Acc: 0.9484, Val Loss: 0.2096, Val Acc: 0.9298, F1 Score: 0.9297, Recall: 0.9306, Precision: 0.9295, Sensitivity: 0.9444, Specificity: 0.9167, MCC: 0.8600, AUC: 0.9306
Epoch [11/30], Train Loss: 0.1129, Train Acc: 0.9604, Val Loss: 0.1940, Val Acc: 0.9386, F1 Score: 0.9386, Recall: 0.9403, Precision: 0.9392, Sensitivity: 0.9722, Specificity: 0.9083, MCC: 0.8795, AUC: 0.9403
Epoch [12/30], Train Loss: 0.1030, Train Acc: 0.9714, Val Loss: 0.1906, Val Acc: 0.9386, F1 Score: 0.9386, Recall: 0.9403, Precision: 0.9392, Sensitivity: 0.9722, Specificity: 0.9083, MCC: 0.8795, AUC: 0.9403
Epoch [13/30], Train Loss: 0.1046, Train Acc: 0.9626, Val Loss: 0.2030, Val Acc: 0.9430, F1 Score: 0.9430, Recall: 0.9444, Precision: 0.9432, Sensitivity: 0.9722, Specificity: 0.9167, MCC: 0.8877, AUC: 0.9444
Epoch [14/30], Train Loss: 0.1003, Train Acc: 0.9648, Val Loss: 0.1990, Val Acc: 0.9386, F1 Score: 0.9386, Recall: 0.9403, Precision: 0.9392, Sensitivity: 0.9722, Specificity: 0.9083, MCC: 0.8795, AUC: 0.9403
Epoch [15/30], Train Loss: 0.1097, Train Acc: 0.9571, Val Loss: 0.1823, Val Acc: 0.9386, F1 Score: 0.9386, Recall: 0.9403, Precision: 0.9392, Sensitivity: 0.9722, Specificity: 0.9083, MCC: 0.8795, AUC: 0.9403
Epoch [16/30], Train Loss: 0.1072, Train Acc: 0.9615, Val Loss: 0.1815, Val Acc: 0.9474, F1 Score: 0.9473, Recall: 0.9486, Precision: 0.9474, Sensitivity: 0.9722, Specificity: 0.9250, MCC: 0.8960, AUC: 0.9486
Epoch [17/30], Train Loss: 0.1002, Train Acc: 0.9659, Val Loss: 0.1822, Val Acc: 0.9430, F1 Score: 0.9430, Recall: 0.9444, Precision: 0.9432, Sensitivity: 0.9722, Specificity: 0.9167, MCC: 0.8877, AUC: 0.9444
Epoch [18/30], Train Loss: 0.1002, Train Acc: 0.9626, Val Loss: 0.1799, Val Acc: 0.9474, F1 Score: 0.9474, Recall: 0.9495, Precision: 0.9488, Sensitivity: 0.9907, Specificity: 0.9083, MCC: 0.8984, AUC: 0.9495
Epoch [19/30], Train Loss: 0.1015, Train Acc: 0.9659, Val Loss: 0.1933, Val Acc: 0.9430, F1 Score: 0.9430, Recall: 0.9449, Precision: 0.9440, Sensitivity: 0.9815, Specificity: 0.9083, MCC: 0.8889, AUC: 0.9449
^[[A^[[A^[[A^[[A^[[A^[[A^[[A^[[A^[[A^[[A^[[A^[[AEpoch [20/30], Train Loss: 0.1037, Train Acc: 0.9659, Val Loss: 0.1875, Val Acc: 0.9386, F1 Score: 0.9386, Recall: 0.9398, Precision: 0.9386, Sensitivity: 0.9630, Specificity: 0.9167, MCC: 0.8784, AUC: 0.9398
Epoch [21/30], Train Loss: 0.1015, Train Acc: 0.9670, Val Loss: 0.1803, Val Acc: 0.9386, F1 Score: 0.9386, Recall: 0.9403, Precision: 0.9392, Sensitivity: 0.9722, Specificity: 0.9083, MCC: 0.8795, AUC: 0.9403
Epoch [22/30], Train Loss: 0.0950, Train Acc: 0.9637, Val Loss: 0.1634, Val Acc: 0.9474, F1 Score: 0.9473, Recall: 0.9486, Precision: 0.9474, Sensitivity: 0.9722, Specificity: 0.9250, MCC: 0.8960, AUC: 0.9486
Epoch [23/30], Train Loss: 0.0939, Train Acc: 0.9714, Val Loss: 0.1956, Val Acc: 0.9386, F1 Score: 0.9386, Recall: 0.9403, Precision: 0.9392, Sensitivity: 0.9722, Specificity: 0.9083, MCC: 0.8795, AUC: 0.9403
Epoch [24/30], Train Loss: 0.0982, Train Acc: 0.9681, Val Loss: 0.1954, Val Acc: 0.9386, F1 Score: 0.9386, Recall: 0.9398, Precision: 0.9386, Sensitivity: 0.9630, Specificity: 0.9167, MCC: 0.8784, AUC: 0.9398
Epoch [25/30], Train Loss: 0.0896, Train Acc: 0.9692, Val Loss: 0.1966, Val Acc: 0.9474, F1 Score: 0.9474, Recall: 0.9495, Precision: 0.9488, Sensitivity: 0.9907, Specificity: 0.9083, MCC: 0.8984, AUC: 0.9495
Epoch [26/30], Train Loss: 0.0981, Train Acc: 0.9659, Val Loss: 0.1960, Val Acc: 0.9342, F1 Score: 0.9342, Recall: 0.9356, Precision: 0.9345, Sensitivity: 0.9630, Specificity: 0.9083, MCC: 0.8701, AUC: 0.9356
Epoch [27/30], Train Loss: 0.0979, Train Acc: 0.9582, Val Loss: 0.1766, Val Acc: 0.9518, F1 Score: 0.9517, Recall: 0.9532, Precision: 0.9520, Sensitivity: 0.9815, Specificity: 0.9250, MCC: 0.9053, AUC: 0.9532
Epoch [28/30], Train Loss: 0.1014, Train Acc: 0.9692, Val Loss: 0.1992, Val Acc: 0.9518, F1 Score: 0.9517, Recall: 0.9532, Precision: 0.9520, Sensitivity: 0.9815, Specificity: 0.9250, MCC: 0.9053, AUC: 0.9532
Epoch [29/30], Train Loss: 0.0930, Train Acc: 0.9714, Val Loss: 0.1865, Val Acc: 0.9430, F1 Score: 0.9430, Recall: 0.9449, Precision: 0.9440, Sensitivity: 0.9815, Specificity: 0.9083, MCC: 0.8889, AUC: 0.9449
