-----------------------------------------------------------------------------------------
dropout=0.5 lr=0.00001, momentum=0.99, weight_decay=0.1

Fold 1/5
Epoch [2/30], Train Loss: 7.9642, Train Acc: 0.0000, Val Loss: 189.4110, Val Acc: 0.0044, F1 Score: 0.0001, Recall: 0.9883, Precision: 0.0118, Sensitivity: 1.0000, Specificity: 0.0000, MCC: 0.0031, AUC: 0.4715
Epoch [3/30], Train Loss: 7.7514, Train Acc: 0.0000, Val Loss: 13.6486, Val Acc: 0.0000, F1 Score: 0.0000, Recall: 0.9890, Precision: 0.0110, Sensitivity: 0.0000, Specificity: 0.0000, MCC: 0.0000, AUC: 0.5380
Epoch [4/30], Train Loss: 7.5379, Train Acc: 0.0000, Val Loss: 18.3297, Val Acc: 0.0000, F1 Score: 0.0000, Recall: 0.9887, Precision: 0.0056, Sensitivity: 0.0000, Specificity: 0.0000, MCC: -0.0031, AUC: 0.5414
Epoch [5/30], Train Loss: 7.2717, Train Acc: 0.0011, Val Loss: 30.6130, Val Acc: 0.0000, F1 Score: 0.0000, Recall: 0.9890, Precision: 0.0110, Sensitivity: 0.0000, Specificity: 0.0000, MCC: 0.0000, AUC: 0.5505
Epoch [6/30], Train Loss: 7.0296, Train Acc: 0.0022, Val Loss: 6.7833, Val Acc: 0.0044, F1 Score: 0.0001, Recall: 0.9882, Precision: 0.0118, Sensitivity: 1.0000, Specificity: 0.0000, MCC: 0.0031, AUC: 0.4982
Epoch [7/30], Train Loss: 6.7560, Train Acc: 0.0022, Val Loss: 53.3029, Val Acc: 0.0175, F1 Score: 0.0004, Recall: 0.9897, Precision: 0.0105, Sensitivity: 1.0000, Specificity: 0.0000, MCC: 0.0124, AUC: 0.5762
Epoch [8/30], Train Loss: 6.5483, Train Acc: 0.0066, Val Loss: 6.8585, Val Acc: 0.0044, F1 Score: 0.0001, Recall: 0.9884, Precision: 0.0073, Sensitivity: 1.0000, Specificity: 0.0000, MCC: -0.0062, AUC: 0.5086
Epoch [9/30], Train Loss: 6.2355, Train Acc: 0.0319, Val Loss: 14.6190, Val Acc: 0.0395, F1 Score: 0.0009, Recall: 0.9886, Precision: 0.0119, Sensitivity: 1.0000, Specificity: 1.0000, MCC: 0.0280, AUC: 0.4826
Epoch [10/30], Train Loss: 5.9727, Train Acc: 0.0495, Val Loss: 6.0576, Val Acc: 0.0219, F1 Score: 0.0005, Recall: 0.9887, Precision: 0.0075, Sensitivity: 0.8000, Specificity: 0.5000, MCC: 0.0093, AUC: 0.4626
Epoch [11/30], Train Loss: 5.8029, Train Acc: 0.0473, Val Loss: 5.8886, Val Acc: 0.0395, F1 Score: 0.0008, Recall: 0.9897, Precision: 0.0100, Sensitivity: 0.7500, Specificity: 1.0000, MCC: 0.0249, AUC: 0.5344
Epoch [12/30], Train Loss: 5.7116, Train Acc: 0.0440, Val Loss: 95.6935, Val Acc: 0.0351, F1 Score: 0.0008, Recall: 0.9888, Precision: 0.0104, Sensitivity: 1.0000, Specificity: 0.8000, MCC: 0.0218, AUC: 0.5162
Epoch [13/30], Train Loss: 5.7072, Train Acc: 0.0451, Val Loss: 17.5847, Val Acc: 0.0526, F1 Score: 0.0012, Recall: 0.9890, Precision: 0.0105, Sensitivity: 0.8889, Specificity: 1.0000, MCC: 0.0343, AUC: 0.4854
Epoch [14/30], Train Loss: 5.7002, Train Acc: 0.0604, Val Loss: 49.7084, Val Acc: 0.0570, F1 Score: 0.0012, Recall: 0.9890, Precision: 0.0117, Sensitivity: 1.0000, Specificity: 1.0000, MCC: 0.0405, AUC: 0.6089
Epoch [15/30], Train Loss: 5.5748, Train Acc: 0.0615, Val Loss: 6.6842, Val Acc: 0.0658, F1 Score: 0.0014, Recall: 0.9893, Precision: 0.0103, Sensitivity: 0.9167, Specificity: 1.0000, MCC: 0.0436, AUC: 0.4952
Epoch [16/30], Train Loss: 5.5575, Train Acc: 0.0692, Val Loss: 6.7048, Val Acc: 0.0746, F1 Score: 0.0016, Recall: 0.9892, Precision: 0.0103, Sensitivity: 1.0000, Specificity: 0.7000, MCC: 0.0436, AUC: 0.5339
Epoch [17/30], Train Loss: 5.5425, Train Acc: 0.0725, Val Loss: 165.1692, Val Acc: 0.0570, F1 Score: 0.0013, Recall: 0.9886, Precision: 0.0106, Sensitivity: 1.0000, Specificity: 0.7778, MCC: 0.0343, AUC: 0.5456
Epoch [18/30], Train Loss: 5.4772, Train Acc: 0.0890, Val Loss: 100.7510, Val Acc: 0.0395, F1 Score: 0.0009, Recall: 0.9890, Precision: 0.0115, Sensitivity: 1.0000, Specificity: 1.0000, MCC: 0.0280, AUC: 0.4749
Epoch [19/30], Train Loss: 5.4537, Train Acc: 0.0769, Val Loss: 71.7452, Val Acc: 0.0482, F1 Score: 0.0010, Recall: 0.9891, Precision: 0.0114, Sensitivity: 1.0000, Specificity: 1.0000, MCC: 0.0343, AUC: 0.4750
Epoch [20/30], Train Loss: 5.4210, Train Acc: 0.0703, Val Loss: 48.3434, Val Acc: 0.0921, F1 Score: 0.0020, Recall: 0.9891, Precision: 0.0101, Sensitivity: 0.8333, Specificity: 0.8462, MCC: 0.0530, AUC: 0.5226
Epoch [21/30], Train Loss: 5.4925, Train Acc: 0.0725, Val Loss: 123.4792, Val Acc: 0.0526, F1 Score: 0.0011, Recall: 0.9892, Precision: 0.0109, Sensitivity: 1.0000, Specificity: 0.7500, MCC: 0.0343, AUC: 0.5478
Epoch [22/30], Train Loss: 5.3721, Train Acc: 0.0813, Val Loss: 19.1656, Val Acc: 0.0570, F1 Score: 0.0012, Recall: 0.9892, Precision: 0.0090, Sensitivity: 0.8889, Specificity: 0.6250, MCC: 0.0280, AUC: 0.5691
Epoch [23/30], Train Loss: 5.3792, Train Acc: 0.0934, Val Loss: 153.5547, Val Acc: 0.0570, F1 Score: 0.0012, Recall: 0.9893, Precision: 0.0093, Sensitivity: 0.8889, Specificity: 0.7143, MCC: 0.0312, AUC: 0.5013
Epoch [24/30], Train Loss: 5.3932, Train Acc: 0.0901, Val Loss: 219.5286, Val Acc: 0.0746, F1 Score: 0.0017, Recall: 0.9888, Precision: 0.0103, Sensitivity: 0.9000, Specificity: 0.8000, MCC: 0.0436, AUC: 0.5489
Epoch [25/30], Train Loss: 5.3436, Train Acc: 0.0912, Val Loss: 185.0359, Val Acc: 0.0395, F1 Score: 0.0009, Recall: 0.9889, Precision: 0.0104, Sensitivity: 0.8333, Specificity: 1.0000, MCC: 0.0249, AUC: 0.5262
Epoch [26/30], Train Loss: 5.3482, Train Acc: 0.1011, Val Loss: 287.5536, Val Acc: 0.0570, F1 Score: 0.0013, Recall: 0.9886, Precision: 0.0098, Sensitivity: 0.8571, Specificity: 0.7778, MCC: 0.0312, AUC: 0.4874
Epoch [27/30], Train Loss: 5.4022, Train Acc: 0.0945, Val Loss: 39.3345, Val Acc: 0.0614, F1 Score: 0.0014, Recall: 0.9888, Precision: 0.0114, Sensitivity: 1.0000, Specificity: 0.8333, MCC: 0.0405, AUC: 0.5662
Epoch [28/30], Train Loss: 5.3325, Train Acc: 0.0879, Val Loss: 104.1706, Val Acc: 0.0658, F1 Score: 0.0014, Recall: 0.9892, Precision: 0.0097, Sensitivity: 0.8889, Specificity: 0.7778, MCC: 0.0374, AUC: 0.5379
Epoch [29/30], Train Loss: 5.3457, Train Acc: 0.0989, Val Loss: 414.8152, Val Acc: 0.0570, F1 Score: 0.0012, Recall: 0.9892, Precision: 0.0115, Sensitivity: 1.0000, Specificity: 1.0000, MCC: 0.0405, AUC: 0.4674
Epoch [30/30], Train Loss: 5.3677, Train Acc: 0.0923, Val Loss: 68.7510, Val Acc: 0.0921, F1 Score: 0.0019, Recall: 0.9894, Precision: 0.0102, Sensitivity: 0.9231, Specificity: 0.8182, MCC: 0.0561, AUC: 0.4977
Fold 3/5
Epoch [1/30], Train Loss: 8.1701, Train Acc: 0.0000, Val Loss: 350.6211, Val Acc: 0.0000, F1 Score: 0.0000, Recall: 0.9890, Precision: 0.0110, Sensitivity: 0.0000, Specificity: 0.0000, MCC: 0.0000, AUC: 0.4124
Epoch [2/30], Train Loss: 7.9313, Train Acc: 0.0000, Val Loss: 26.1032, Val Acc: 0.0000, F1 Score: 0.0000, Recall: 0.9888, Precision: 0.0112, Sensitivity: 0.0000, Specificity: 0.0000, MCC: 0.0000, AUC: 0.4818
Epoch [3/30], Train Loss: 7.6685, Train Acc: 0.0011, Val Loss: 52.9230, Val Acc: 0.0000, F1 Score: 0.0000, Recall: 0.9891, Precision: 0.0109, Sensitivity: 0.0000, Specificity: 0.0000, MCC: 0.0000, AUC: 0.5236
Epoch [4/30], Train Loss: 7.4135, Train Acc: 0.0011, Val Loss: 19.2379, Val Acc: 0.0088, F1 Score: 0.0002, Recall: 0.9891, Precision: 0.0110, Sensitivity: 0.0000, Specificity: 1.0000, MCC: 0.0059, AUC: 0.4919
Epoch [5/30], Train Loss: 7.0951, Train Acc: 0.0055, Val Loss: 12.1397, Val Acc: 0.0132, F1 Score: 0.0003, Recall: 0.9894, Precision: 0.0090, Sensitivity: 1.0000, Specificity: 0.5000, MCC: 0.0066, AUC: 0.5091
Epoch [6/30], Train Loss: 6.7411, Train Acc: 0.0176, Val Loss: 25.6859, Val Acc: 0.0263, F1 Score: 0.0006, Recall: 0.9892, Precision: 0.0097, Sensitivity: 0.7500, Specificity: 1.0000, MCC: 0.0154, AUC: 0.5442
Epoch [7/30], Train Loss: 6.4904, Train Acc: 0.0374, Val Loss: 7.5711, Val Acc: 0.0658, F1 Score: 0.0014, Recall: 0.9894, Precision: 0.0104, Sensitivity: 0.9091, Specificity: 1.0000, MCC: 0.0443, AUC: 0.4948
Epoch [8/30], Train Loss: 6.1495, Train Acc: 0.0604, Val Loss: 7.0598, Val Acc: 0.0877, F1 Score: 0.0019, Recall: 0.9893, Precision: 0.0102, Sensitivity: 0.9333, Specificity: 0.7500, MCC: 0.0546, AUC: 0.4559
Epoch [9/30], Train Loss: 5.7969, Train Acc: 0.1022, Val Loss: 7.3704, Val Acc: 0.0921, F1 Score: 0.0021, Recall: 0.9887, Precision: 0.0109, Sensitivity: 0.9333, Specificity: 0.7778, MCC: 0.0576, AUC: 0.4725
Epoch [10/30], Train Loss: 5.4507, Train Acc: 0.1538, Val Loss: 5.8929, Val Acc: 0.1535, F1 Score: 0.0034, Recall: 0.9889, Precision: 0.0112, Sensitivity: 0.8182, Specificity: 0.8947, MCC: 0.0909, AUC: 0.4083
Epoch [11/30], Train Loss: 5.2980, Train Acc: 0.1560, Val Loss: 127.9599, Val Acc: 0.1579, F1 Score: 0.0036, Recall: 0.9889, Precision: 0.0121, Sensitivity: 0.9091, Specificity: 0.9412, MCC: 0.1040, AUC: 0.5089
